,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,artist_id,album_type,available_market_num,release_date,genres,artist_popularity,artist_followers
34,Billie Holiday,All Or Nothing At All,Ill Wind,4hPJ9QCAz1vO1YNi5PV77x,0.55,0.125,2,-13.719,1,0.0502,0.000353,0.104,0.191,123.965,378080,4,0.981,1YzCsTRb22dQkh9lghPIrp,album,178,1958,"adult standards,harlem renaissance,jazz,jazz blues,lounge,soul,torch song,vocal jazz",69,1467102
52,Sam Cooke,Ain't That Good News,A Change Is Gonna Come,0KOE1hat4SIer491XKk4Pa,0.212,0.383,10,-10.071,1,0.0347,0,0.299,0.452,173.79,191160,3,0.723,6hnWRPzGGKiapVX1UCdEAC,album,178,1964,"adult standards,brill building pop,classic soul,rock-and-roll,soul",72,1224822
61,The Animals,The Best Of The Animals,We Gotta Get Out Of This Place (US Version),25L7DvNU798tfl5SgKgnt1,0.544,0.555,5,-7.577,1,0.0354,1.69E-06,0.0931,0.5,124.344,192427,4,0.593,3ICflSq6ZgYAIrm2CTkfVP,compilation,178,1966,"album rock,blues rock,british invasion,classic rock,folk rock,protopunk,psychedelic rock,rock",69,1793062
5,Jimi Hendrix,Are You Experienced,The Wind Cries Mary,5H6Jp0syB5yEPk7SWYdlmk,0.499,0.495,5,-10.508,1,0.0501,0.0286,0.2,0.339,80.086,200733,4,0.348,776Uo845nYHJpNaStv1Ds4,album,178,1967,"acid rock,album rock,blues rock,classic rock,psychedelic rock,rock",76,5057952
59,The Byrds,Younger Than Yesterday,My Back Pages,1yexhSDARSLVvRCBU3wDAm,0.558,0.524,4,-10.528,1,0.0339,0,0.17,0.727,123.243,188240,4,0.109,1PCZpxHJz7WAMF8EEq8bfc,album,178,1967,"art rock,beatlesque,blues rock,brill building pop,classic rock,cosmic american,country rock,folk,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock",63,726479
54,Jimi Hendrix,Are You Experienced,May This Be Love,1Y6Dv0tWYUP3Za2Es9FUL2,0.539,0.609,8,-9.397,1,0.0622,0.111,0.115,0.488,95.347,190227,4,0.218,776Uo845nYHJpNaStv1Ds4,album,178,1967,"acid rock,album rock,blues rock,classic rock,psychedelic rock,rock",76,5057952
0,The Beatles,The Beatles (Remastered),Dear Prudence - Remastered 2009,5NQYyej46WQkgCbnzGD21W,0.388,0.529,7,-10.533,1,0.0436,0.0681,0.108,0.332,150.721,235773,4,0.16,3WrFJ7ztbogyGnTHbHJFl2,album,178,1968,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",89,20083044
50,The Band,Music From Big Pink (Remastered),I Shall Be Released - Remastered,1IoRkyadylakMOukD7uN67,0.445,0.376,4,-11.844,1,0.0312,0,0.0702,0.526,128.156,192104,4,0.321,4vpDg7Y7fU982Ds30zawDA,album,178,1968,"album rock,blues rock,classic canadian rock,classic rock,cosmic american,country rock,folk,folk rock,heartland rock,jam band,mellow gold,rock,roots rock,soft rock,swamp rock",68,799083
7,The Friends Of Distinction,Grazin',Going In Circles,5gUk26spbkbYgXmDTMbW3C,0.385,0.339,4,-10.413,1,0.0373,0,0.307,0.278,117.449,252280,3,0.809,2KK4fR5VwOjGzJxjbGxMIu,album,178,1969,"classic soul,disco,motown",42,32236
27,Diana Ross & The Supremes,Cream Of The Crop,Someday We'll Be Together,79Yk6AlSKi5dxDFINID2hS,0.678,0.535,1,-12.454,1,0.0329,2.17E-06,0.0596,0.795,107.041,211667,4,0.14,0rXI0q8Cahq6numvPlloaq,album,178,1969,"classic girl group,motown,soul",54,66206
37,Blind Faith,Blind Faith,Can't Find My Way Home,3VyJGPYr2DF9gdBNosSao4,0.519,0.337,2,-15.215,1,0.0333,0.0113,0.13,0.523,87.926,196133,4,0.887,5GUVj2b1lJ4DolQyHlzyaO,album,178,1969,"art rock,blues rock,british blues,classic rock,country rock,electric blues,folk rock,mellow gold,rock,roots rock,supergroup",51,282898
63,Jimmy Cliff,"Wonderful World, Beautiful People",Many Rivers To Cross,1dZxI6OuzwJ283y3gOU1Kq,0.399,0.212,5,-16.03,1,0.0747,0.000434,0.116,0.149,137.76,164067,4,0.7,3rJ3m1tM6vUgiWLjfV8sRf,album,178,1970,"dub,reggae,roots reggae",66,622661
53,Grateful Dead,American Beauty (2013 Remaster),Brokedown Palace - 2013 Remaster,362CS15hE1upuTKoWApzLn,0.456,0.336,5,-14.26,1,0.0366,0,0.097,0.316,115.524,249065,4,0.325,4TMHGUX5WI7OOm53PqSDAT,album,178,1970,"classic rock,cosmic american,country rock,double drumming,folk rock,jam band,psychedelic rock,rock,roots rock",73,1278917
13,Derek & The Dominos,Layla And Other Assorted Love Songs (Remastered 2010),Bell Bottom Blues,2YJgM8lj4u5YEZRSHSfL60,0.404,0.695,2,-6.162,1,0.034,0.0383,0.159,0.646,133.136,301720,4,0.587,2rc78XDH9zuJP6bm78lU8Z,album,178,1970,"album rock,art rock,blues,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,mellow gold,psychedelic rock,rock,roots rock,soft rock",65,487105
38,Elton John,Madman Across The Water,Tiny Dancer,2TVxnKdb3tqe1nhQWwwZCO,0.414,0.428,0,-11.097,1,0.0278,0.000243,0.148,0.282,145.075,377093,4,0.382,3PhoLpVuITZKcymswpck5b,album,178,1971,"glam rock,mellow gold,piano rock",85,7420572
17,Bill Withers,Just As I Am,Ain't No Sunshine,1k1Bqnv2R0uJXQN4u6LKYt,0.527,0.415,4,-11.451,0,0.122,1.72E-05,0.117,0.515,78.169,125093,4,0.457,1ThoqLcyIYvZn7iWbj8fsj,album,178,1971,"funk,motown,quiet storm,soul",76,1161890
26,The Rolling Stones,Sticky Fingers (Remastered),Wild Horses - 2009 Mix,52dm9op3rbfAkc1LGXgipW,0.432,0.389,7,-6.517,1,0.0255,0.0107,0.0788,0.158,139.506,341773,4,0.687,22bE4uQ6baNwSHPVcDxLCe,album,178,1971,"british invasion,classic rock,rock",84,10491767
39,Neil Young,Harvest (2009 Remaster),Old Man - 2009 Remaster,16XeptMdlJTWWeIrwEAOvv,0.702,0.244,4,-15.286,0,0.0355,0.00867,0.0963,0.444,141.317,202147,4,0.431,6v8FB84lnmJs434UJf2Mrm,album,178,1972,"album rock,canadian singer-songwriter,classic canadian rock,classic rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter",73,2264575
20,Jerry Garcia,Garcia,Sugaree,4XoYeolVYTiddO9wZLXLgl,0.663,0.494,1,-11.822,0,0.0485,2.54E-05,0.123,0.672,86.573,352965,4,0.0914,3QDaXfnxfQqqJQK5lSdjLN,album,178,1972,"blues rock,classic rock,country rock,folk rock,jam band,jamgrass,roots rock",59,249007
43,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,Tuesday's Gone,64sn7wgJfeQKY3Jisnl59w,0.232,0.615,9,-8.636,1,0.0295,5.68E-06,0.0601,0.41,146.488,450227,3,0.0778,4MVyzYMgTwdP7Z49wAZHx0,album,178,1973,"album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock",77,3503059
4,George Harrison,Living In The Material World (Remastered),Give Me Love (Give Me Peace On Earth),4XMRt4xFqLzGs4wDKkSSeu,0.373,0.57,5,-11.56,1,0.0441,0.0124,0.128,0.631,81.28,215693,4,0.497,7FIoB5PHdrMZVC3q2HE5MS,album,178,1973,"album rock,beatlesque,classic rock,folk rock,mellow gold,rock,roots rock,soft rock",73,1890944
15,The Rolling Stones,Goats Head Soup (Remastered 2009),Angie,1GcVa4jFySlun4jLSuMhiq,0.429,0.554,9,-6.128,0,0.0291,0.000152,0.105,0.407,136.302,272000,4,0.67,22bE4uQ6baNwSHPVcDxLCe,album,178,1973,"british invasion,classic rock,rock",84,10491767
51,Gladys Knight & The Pips,Imagination (Expanded Edition),Midnight Train to Georgia,7MF7QAodbGzNYav5ZfIhAY,0.595,0.379,10,-12.058,0,0.0454,2.81E-05,0.1,0.448,92.006,279333,4,0.271,0TF2NxkJZPQoX1H53rEFM1,album,178,1973,"classic soul,disco,funk,motown,quiet storm,soul,southern soul",64,845046
55,Fleetwood Mac,Fleetwood Mac,Landslide,5ihS6UUlyQAfmp48eSkxuQ,0.414,0.161,7,-22.32,0,0.0318,0.000223,0.117,0.423,159.375,199493,4,0.883,08GQAI4eElDnROBrJRGE0X,album,178,1975,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",85,6856853
40,Paul Simon,Still Crazy After All These Years,Still Crazy After All These Years,3gIBSlXYIN1mru35l4LWPB,0.267,0.252,7,-11.687,1,0.0351,4.43E-05,0.089,0.13,37.114,206533,4,0.8,2CvCyf1gEVhI0mX6aFXmVI,album,178,1975,"classic rock,folk,folk rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter,soft rock",73,1652749
3,Pink Floyd,Wish You Were Here,Shine On You Crazy Diamond (Pts. 1-5),6pnwfWyaWjQiHCKTiZLItr,0.266,0.294,7,-11.938,0,0.0291,0.697,0.107,0.0397,137.941,811077,3,0.771,0k17h0D3J5VfsdmQ1iZtE9,album,178,1975,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",83,15016287
60,Bob Marley & The Wailers,Live!,"No Woman, No Cry - Live At The Lyceum, London/1975",423hwXFgoN8RYmqLoLuVvY,0.655,0.675,1,-9.352,1,0.0599,0.0236,0.727,0.587,77.589,427800,4,0.272,2QsynagSdAqZj3U9HgDzjD,album,178,1975,"reggae,roots reggae",84,9698745
